source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
icse26/bigcodebench,0,fit,BigCodeBench/627,1,160,0.3448275862068966,37,0.3425925925925926,40,0.1818181818181818,0.9960548877716064,0.9595960974693298
icse26/bigcodebench,0,fit,BigCodeBench/425,1,405,0.75,110,0.5641025641025641,192,1.0,0.9892603754997252,0.9465227127075196
icse26/bigcodebench,0,fit,BigCodeBench/1021,1,173,0.3197781885397412,31,0.3444444444444444,36,0.1875,0.997000515460968,0.9565310478210448
icse26/bigcodebench,0,fit,BigCodeBench/651,1,405,0.8766233766233766,100,0.6410256410256411,121,0.4531835205992509,0.9870222806930542,0.8341774344444275
icse26/bigcodebench,0,fit,BigCodeBench/158,1,615,1.824925816023739,99,0.6036585365853658,95,0.3877551020408163,0.9417694211006165,0.8611273169517517
icse26/bigcodebench,0,fit,BigCodeBench/90,1,315,0.3539325842696629,66,0.2832618025751073,65,0.1214953271028037,0.9956953525543212,0.9558895826339722
icse26/bigcodebench,0,fit,BigCodeBench/793,1,194,0.610062893081761,46,0.5411764705882353,35,0.220125786163522,0.9946236610412598,0.8451581001281738
icse26/bigcodebench,0,fit,BigCodeBench/84,1,1030,0.6816677696889477,195,0.6351791530944625,116,0.1920529801324503,0.998408019542694,0.9475376605987548
icse26/bigcodebench,0,fit,BigCodeBench/474,1,491,0.7868589743589743,142,0.6283185840707964,130,0.3513513513513513,0.9925100803375244,0.8929438591003418
icse26/bigcodebench,0,fit,BigCodeBench/434,1,586,0.5830845771144278,152,0.7037037037037037,98,0.2227272727272727,0.9956053495407104,0.954178273677826
icse26/bigcodebench,0,fit,BigCodeBench/290,1,500,0.8865248226950354,78,0.4968152866242038,70,0.2592592592592592,0.9762616157531738,0.8180404901504517
icse26/bigcodebench,0,fit,BigCodeBench/1103,1,421,0.8127413127413128,75,0.528169014084507,58,0.2660550458715596,0.9822068810462952,0.9039247632026672
icse26/bigcodebench,0,fit,BigCodeBench/1019,1,575,0.5502392344497608,83,0.4191919191919191,72,0.2278481012658227,0.9973227977752686,0.9314006567001344
icse26/bigcodebench,0,fit,BigCodeBench/387,1,508,0.7195467422096318,133,0.5911111111111111,113,0.3165266106442577,0.9910225868225098,0.9522091150283812
icse26/bigcodebench,0,fit,BigCodeBench/181,1,75,0.25,13,0.2131147540983606,11,0.1089108910891089,0.9952094554901124,0.9858566522598268
icse26/bigcodebench,0,fit,BigCodeBench/385,1,364,0.7193675889328063,84,0.7433628318584071,84,0.3962264150943396,0.9879762530326844,0.8894155621528625
icse26/bigcodebench,0,fit,BigCodeBench/463,1,310,0.8781869688385269,53,0.5408163265306123,0,0.0,0.9889645576477052,0.9094794988632202
icse26/bigcodebench,0,fit,BigCodeBench/801,1,492,0.6657645466847091,140,0.7777777777777778,149,0.5228070175438596,0.98660010099411,0.8421584963798523
icse26/bigcodebench,0,fit,BigCodeBench/473,1,425,0.8095238095238095,104,0.5561497326203209,86,0.2721518987341772,0.9878940582275392,0.9549291729927064
icse26/bigcodebench,0,fit,BigCodeBench/800,1,552,0.5168539325842697,134,0.6090909090909091,124,0.3757575757575757,0.9879668951034546,0.8755103349685669
icse26/bigcodebench,0,fit,BigCodeBench/601,1,446,0.5930851063829787,94,0.6714285714285714,77,0.2862453531598513,0.988862931728363,0.8921275734901428
icse26/bigcodebench,0,fit,BigCodeBench/248,1,360,0.8450704225352113,95,0.6597222222222222,100,0.3846153846153846,0.9874482154846193,0.9146662950515748
