source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
icse26/humaneval,0,fit,HumanEval/85,1,76,0.8636363636363636,20,0.4651162790697674,16,0.1860465116279069,0.9621352553367616,0.9256942868232728
icse26/humaneval,0,fit,HumanEval/135,1,54,0.4153846153846154,14,0.3333333333333333,23,0.2233009708737864,0.9927276968955994,0.8372182846069336
icse26/humaneval,0,fit,HumanEval/125,1,155,0.7242990654205608,54,0.8571428571428571,58,0.8285714285714286,0.9413610696792604,0.7536584138870239
icse26/humaneval,0,fit,HumanEval/31,1,127,0.8581081081081081,30,0.8333333333333334,38,1.0,0.936124324798584,0.7619436979293823
icse26/humaneval,0,fit,HumanEval/130,1,210,0.8076923076923077,54,0.4655172413793103,54,0.2410714285714285,0.983647882938385,0.851542592048645
icse26/humaneval,0,fit,HumanEval/110,1,336,1.3714285714285714,80,0.7207207207207207,104,0.5416666666666666,0.9761620759963988,0.8302568197250366
icse26/humaneval,0,fit,HumanEval/67,1,378,2.4705882352941178,94,0.7899159663865546,109,0.6228571428571429,0.9701055884361268,0.7655882835388184
icse26/humaneval,0,fit,HumanEval/20,1,361,0.5308823529411765,81,0.6532258064516129,109,0.3851590106007067,0.986193060874939,0.9022303223609924
icse26/humaneval,0,fit,HumanEval/38,1,225,0.7475083056478405,90,0.4712041884816754,99,0.3203883495145631,0.9863686561584472,0.9236496686935424
icse26/humaneval,0,fit,HumanEval/75,1,252,0.5887850467289719,67,0.6320754716981132,88,0.3963963963963964,0.9899916648864746,0.9375673532485962
icse26/humaneval,0,fit,HumanEval/86,1,64,0.6956521739130435,23,0.6571428571428571,23,0.3538461538461538,0.985481321811676,0.8819118738174438
icse26/humaneval,0,fit,HumanEval/89,1,177,0.903061224489796,64,0.7191011235955056,81,0.5225806451612903,0.9787449240684508,0.8091866970062256
icse26/humaneval,0,fit,HumanEval/148,1,478,0.9446640316205532,82,0.9111111111111112,95,1.0,0.9023586511611938,0.7240439653396606
icse26/humaneval,0,fit,HumanEval/162,1,67,0.5583333333333333,17,0.6071428571428571,25,1.0,0.9886144995689392,0.9257814884185792
icse26/humaneval,0,fit,HumanEval/50,1,70,0.3181818181818182,35,0.3888888888888889,39,0.2549019607843137,0.9924335479736328,0.9538531303405762
icse26/humaneval,0,validate,HumanEval/118,1,876,2.720496894409938,149,0.7967914438502673,170,0.5555555555555556,0.9420045614242554,0.8812754154205322
icse26/humaneval,0,validate,HumanEval/47,1,147,0.8963414634146342,45,0.6,34,0.2098765432098765,0.9857306480407716,0.9583542943000792
icse26/humaneval,0,validate,HumanEval/7,1,33,0.22,11,0.3055555555555556,14,0.2333333333333333,0.9773954153060912,0.9617282748222352
icse26/humaneval,0,validate,HumanEval/100,1,289,4.816666666666666,58,0.8285714285714286,73,0.6697247706422018,0.9397494792938232,0.7790231108665466
icse26/humaneval,0,validate,HumanEval/71,1,100,0.4651162790697674,44,0.5641025641025641,57,0.3454545454545454,0.9920751452445984,0.947213888168335
icse26/humaneval,0,validate,HumanEval/87,1,146,0.7192118226600985,44,0.4631578947368421,48,0.2526315789473684,0.9699198007583618,0.8735424280166626
icse26/humaneval,0,validate,HumanEval/124,1,269,0.5233463035019456,93,0.7099236641221374,129,0.5222672064777328,0.9759848713874816,0.9166318774223328
icse26/humaneval,0,validate,HumanEval/114,1,194,0.7265917602996255,52,0.8,63,0.4012738853503185,0.9941313862800598,0.8346366286277771
icse26/humaneval,0,validate,HumanEval/19,1,173,0.4650537634408602,27,0.3,25,0.2032520325203252,0.9446383714675904,0.9280520677566528
icse26/humaneval,0,validate,HumanEval/101,1,199,0.7834645669291339,43,0.7818181818181819,47,0.6438356164383562,0.969391942024231,0.771293580532074
icse26/humaneval,0,validate,HumanEval/26,1,120,0.6417112299465241,32,0.5925925925925926,44,0.4074074074074074,0.980660617351532,0.8679081797599792
icse26/humaneval,0,validate,HumanEval/141,1,238,0.6197916666666666,64,0.6095238095238096,52,0.2524271844660194,0.988606333732605,0.91485333442688
icse26/humaneval,0,validate,HumanEval/59,1,192,0.5454545454545454,51,0.5,70,0.3365384615384615,0.989065170288086,0.9241047501564026
icse26/humaneval,0,validate,HumanEval/92,1,88,0.4292682926829268,30,0.4054054054054054,36,0.2117647058823529,0.994731068611145,0.9405406713485718
icse26/humaneval,0,validate,HumanEval/142,1,152,0.5527272727272727,38,0.4810126582278481,50,0.3012048192771084,0.971426010131836,0.9352381229400636
icse26/humaneval,0,test,HumanEval/121,1,132,1.434782608695652,28,0.6666666666666666,42,0.4772727272727273,0.9730594158172609,0.8333777189254761
icse26/humaneval,0,test,HumanEval/121,2,88,0.9565217391304348,28,0.6666666666666666,40,0.4545454545454545,0.9722269773483276,0.8949562311172485
icse26/humaneval,0,test,HumanEval/121,3,92,1.0,28,0.6666666666666666,42,0.4772727272727273,0.9723407030105592,0.8740842342376709
