source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s1_baseline,0,fit,BigCodeBench/5,1,28,0.1089494163424124,5,0.0561797752808988,2,0.0103092783505154,0.992466151714325,0.9835480451583862
phase2/s1_baseline,0,fit,BigCodeBench/6,1,6,0.0240963855421686,1,0.0135135135135135,2,0.0126582278481012,0.9967705011367798,0.9845250844955444
phase2/s1_baseline,0,fit,BigCodeBench/7,1,35,0.0872817955112219,3,0.036144578313253,3,0.0150753768844221,0.99918794631958,0.9814789295196532
phase2/s1_baseline,0,fit,BigCodeBench/19,1,9,0.0198675496688741,1,0.0094339622641509,3,0.0131004366812227,0.9993809461593628,0.966058909893036
phase2/s1_baseline,0,fit,BigCodeBench/24,1,9,0.0384615384615384,3,0.0625,3,0.027027027027027,0.9965298175811768,0.971175730228424
phase2/s1_baseline,0,fit,BigCodeBench/35,1,8,0.0343347639484978,3,0.0441176470588235,3,0.0201342281879194,0.999065637588501,0.9637938141822816
phase2/s1_baseline,0,fit,BigCodeBench/42,1,48,0.1048034934497816,9,0.088235294117647,2,0.0086206896551724,0.9972413778305054,0.9819101095199584
phase2/s1_baseline,0,fit,BigCodeBench/45,1,144,0.2642201834862385,8,0.0869565217391304,3,0.0158730158730158,0.991180181503296,0.9485219717025756
phase2/s1_baseline,0,fit,BigCodeBench/50,1,54,0.1208053691275167,12,0.1142857142857142,3,0.0134529147982062,0.9947000741958618,0.9644536972045898
phase2/s1_baseline,0,fit,BigCodeBench/98,1,14,0.0496453900709219,1,0.0196078431372549,3,0.0256410256410256,0.9991371631622314,0.994561493396759
phase2/s1_baseline,0,fit,BigCodeBench/100,1,18,0.0339622641509433,3,0.0256410256410256,2,0.0081967213114754,0.9990086555480956,0.99297434091568
phase2/s1_baseline,0,fit,BigCodeBench/102,1,45,0.1584507042253521,3,0.0545454545454545,2,0.0161290322580645,0.9984856843948364,0.9120204448699952
phase2/s1_baseline,0,fit,BigCodeBench/113,1,26,0.0436974789915966,8,0.0689655172413793,3,0.0119521912350597,0.9977933168411256,0.9580217599868774
phase2/s1_baseline,0,fit,BigCodeBench/115,1,4,0.0150375939849624,1,0.0158730158730158,3,0.0201342281879194,0.9993398189544678,0.9479180574417114
phase2/s1_baseline,0,fit,BigCodeBench/125,1,15,0.040650406504065,1,0.0140845070422535,3,0.0184049079754601,0.998777151107788,0.969655990600586
phase2/s1_baseline,0,fit,BigCodeBench/138,1,4,0.0096618357487922,1,0.0129870129870129,3,0.0173410404624277,0.9982088804244996,0.9861707091331482
phase2/s1_baseline,0,fit,BigCodeBench/149,1,47,0.1100702576112412,1,0.0133333333333333,3,0.0175438596491228,0.9982675909996032,0.9113062620162964
phase2/s1_baseline,0,fit,BigCodeBench/154,1,12,0.046692607003891,1,0.0192307692307692,3,0.0232558139534883,0.9965609908103944,0.9514091610908508
phase2/s1_baseline,0,fit,BigCodeBench/155,1,99,0.3485915492957746,3,0.0526315789473684,3,0.0225563909774436,0.995529055595398,0.9607696533203124
phase2/s1_baseline,0,fit,BigCodeBench/162,1,182,0.314878892733564,7,0.0729166666666666,2,0.009009009009009,0.9952560663223268,0.9607232809066772
phase2/s1_baseline,0,fit,BigCodeBench/188,1,165,0.1428571428571428,6,0.0309278350515463,2,0.0049751243781094,0.9984484314918518,0.9886201620101928
phase2/s1_baseline,0,fit,BigCodeBench/191,1,4,0.0158102766798418,1,0.0175438596491228,2,0.0149253731343283,0.9984232783317566,0.9873278141021729
phase2/s1_baseline,0,fit,BigCodeBench/192,1,102,0.1841155234657039,1,0.0111111111111111,3,0.013953488372093,0.9966295957565308,0.9516137838363647
phase2/s1_baseline,0,fit,BigCodeBench/194,1,7,0.0348258706467661,3,0.0476190476190476,2,0.0147058823529411,0.9989789128303528,0.9446900486946106
phase2/s1_baseline,0,fit,BigCodeBench/228,1,197,0.5412087912087912,16,0.2807017543859649,17,0.1588785046728972,0.9795559644699096,0.9156152606010436
phase2/s1_baseline,0,fit,BigCodeBench/238,1,34,0.0819277108433735,3,0.0319148936170212,3,0.0144927536231884,0.9987223148345948,0.9813933968544006
phase2/s1_baseline,0,fit,BigCodeBench/245,1,8,0.0243161094224924,1,0.0109890109890109,3,0.0157068062827225,0.998786687850952,0.9796311259269714
phase2/s1_baseline,0,fit,BigCodeBench/247,1,16,0.0438356164383561,1,0.0128205128205128,3,0.0175438596491228,0.9975897073745728,0.9862552285194396
phase2/s1_baseline,0,fit,BigCodeBench/253,1,10,0.0465116279069767,1,0.0147058823529411,2,0.0128205128205128,0.9981388449668884,0.9660137891769408
phase2/s1_baseline,0,fit,BigCodeBench/258,1,93,0.3576923076923077,1,0.0294117647058823,3,0.0337078651685393,0.9929122924804688,0.9180870056152344
phase2/s1_baseline,0,fit,BigCodeBench/263,1,64,0.1671018276762402,19,0.2111111111111111,25,0.1336898395721925,0.9953992366790771,0.8475656509399414
phase2/s1_baseline,0,fit,BigCodeBench/298,1,22,0.0480349344978165,3,0.024,3,0.0109090909090909,0.9990593194961548,0.9877204895019532
phase2/s1_baseline,0,fit,BigCodeBench/307,1,43,0.1524822695035461,1,0.0175438596491228,2,0.0147058823529411,0.9991644024848938,0.971208155155182
phase2/s1_baseline,0,fit,BigCodeBench/309,1,106,0.2003780718336484,4,0.0392156862745098,3,0.0135746606334841,0.9964195489883424,0.9754202365875244
phase2/s1_baseline,0,fit,BigCodeBench/324,1,138,0.2623574144486692,1,0.0120481927710843,2,0.0108695652173913,0.9956467747688292,0.914606511592865
phase2/s1_baseline,0,fit,BigCodeBench/329,1,3,0.0126582278481012,1,0.0175438596491228,2,0.0151515151515151,0.9993401765823364,0.9824074506759644
phase2/s1_baseline,0,fit,BigCodeBench/339,1,251,0.4128289473684211,2,0.0317460317460317,3,0.0206896551724137,0.9873778820037842,0.9703977704048156
phase2/s1_baseline,0,fit,BigCodeBench/352,1,6,0.014251781472684,3,0.0352941176470588,3,0.0150753768844221,0.9991044998168944,0.984728455543518
phase2/s1_baseline,0,fit,BigCodeBench/358,1,102,0.3541666666666667,1,0.0285714285714285,3,0.037037037037037,0.9953073263168336,0.9349184036254884
phase2/s1_baseline,0,fit,BigCodeBench/366,1,81,0.3056603773584905,9,0.1764705882352941,12,0.1052631578947368,0.9893124103546144,0.9415116310119628
phase2/s1_baseline,0,fit,BigCodeBench/374,1,62,0.0902474526928675,4,0.0380952380952381,3,0.0126582278481012,0.996929168701172,0.9957094192504884
phase2/s1_baseline,0,fit,BigCodeBench/387,1,73,0.1398467432950191,6,0.055045871559633,3,0.0120481927710843,0.9953437447547911,0.9738526344299316
phase2/s1_baseline,0,fit,BigCodeBench/414,1,69,0.2338983050847457,5,0.0714285714285714,3,0.0181818181818181,0.997228503227234,0.950471580028534
phase2/s1_baseline,0,fit,BigCodeBench/422,1,147,0.350835322195704,3,0.0476190476190476,3,0.0201342281879194,0.989067554473877,0.965070366859436
phase2/s1_baseline,0,fit,BigCodeBench/433,1,6,0.0277777777777777,1,0.0196078431372549,3,0.027027027027027,0.998394012451172,0.968014359474182
phase2/s1_baseline,0,fit,BigCodeBench/436,1,23,0.0545023696682464,9,0.0957446808510638,2,0.0092592592592592,0.9974059462547302,0.9877376556396484
phase2/s1_baseline,0,fit,BigCodeBench/447,1,9,0.0223325062034739,3,0.0326086956521739,3,0.0143540669856459,0.9984087944030762,0.9813845157623292
phase2/s1_baseline,0,fit,BigCodeBench/450,1,62,0.1818181818181818,11,0.1264367816091954,11,0.0558375634517766,0.9887754917144777,0.9808947443962096
phase2/s1_baseline,0,fit,BigCodeBench/451,1,39,0.0924170616113744,6,0.0606060606060606,2,0.0092592592592592,0.998692750930786,0.9849529266357422
phase2/s1_baseline,0,fit,BigCodeBench/490,1,51,0.2756756756756757,1,0.03125,3,0.04,0.9972392320632936,0.955885887145996
phase2/s1_baseline,0,fit,BigCodeBench/493,1,32,0.0336487907465825,12,0.0648648648648648,3,0.0068337129840546,0.9985297322273254,0.9916690587997437
phase2/s1_baseline,0,fit,BigCodeBench/508,1,6,0.0153061224489795,2,0.0235294117647058,2,0.0105263157894736,0.997087299823761,0.9726749658584596
phase2/s1_baseline,0,fit,BigCodeBench/524,1,55,0.0630011454753722,17,0.080188679245283,3,0.0064794816414686,0.997657835483551,0.971032977104187
phase2/s1_baseline,0,fit,BigCodeBench/539,1,28,0.0421686746987951,11,0.0814814814814814,3,0.0101010101010101,0.9988775253295898,0.9883052110671996
phase2/s1_baseline,0,fit,BigCodeBench/557,1,20,0.0445434298440979,4,0.0449438202247191,3,0.0143540669856459,0.9991376399993896,0.9809139370918274
phase2/s1_baseline,0,fit,BigCodeBench/559,1,98,0.2634408602150537,3,0.0275229357798165,2,0.0081967213114754,0.994964599609375,0.9673323035240172
phase2/s1_baseline,0,fit,BigCodeBench/572,1,13,0.0443686006825938,1,0.0129870129870129,3,0.0169491525423728,0.9985529184341432,0.9839193820953368
phase2/s1_baseline,0,fit,BigCodeBench/582,1,20,0.0454545454545454,1,0.0080645161290322,2,0.0070921985815602,0.999159574508667,0.9965658187866212
phase2/s1_baseline,0,fit,BigCodeBench/589,1,150,0.24,6,0.0405405405405405,3,0.0096463022508038,0.9965872764587402,0.9614936113357544
phase2/s1_baseline,0,fit,BigCodeBench/618,1,117,0.1710526315789473,3,0.024,2,0.0078125,0.9977551698684692,0.990605652332306
phase2/s1_baseline,0,fit,BigCodeBench/626,1,9,0.0350194552529182,3,0.0566037735849056,3,0.024,0.998557448387146,0.9733509421348572
phase2/s1_baseline,0,fit,BigCodeBench/630,1,9,0.0333333333333333,1,0.0151515151515151,3,0.0196078431372549,0.9988488554954528,0.964979648590088
phase2/s1_baseline,0,fit,BigCodeBench/651,1,120,0.2434077079107505,5,0.057471264367816,3,0.0150753768844221,0.9961684942245485,0.9515441656112672
phase2/s1_baseline,0,fit,BigCodeBench/654,1,149,0.192258064516129,4,0.0220994475138121,3,0.0075187969924812,0.9985146522521972,0.9263863563537598
phase2/s1_baseline,0,fit,BigCodeBench/655,1,501,0.3772590361445783,7,0.0378378378378378,2,0.0050761421319796,0.9906500577926636,0.94791179895401
phase2/s1_baseline,0,fit,BigCodeBench/690,1,137,0.548,1,0.0263157894736842,2,0.0212765957446808,0.9833528995513916,0.9273115396499634
phase2/s1_baseline,0,fit,BigCodeBench/705,1,138,0.3854748603351955,1,0.0192307692307692,3,0.0206896551724137,0.9948895573616028,0.8507581353187561
phase2/s1_baseline,0,fit,BigCodeBench/706,1,50,0.0938086303939962,1,0.0103092783505154,3,0.0133333333333333,0.998656928539276,0.9900956749916076
phase2/s1_baseline,0,fit,BigCodeBench/707,1,75,0.2918287937743191,2,0.0434782608695652,3,0.02803738317757,0.9963929057121276,0.9715067744255066
phase2/s1_baseline,0,fit,BigCodeBench/710,1,14,0.0732984293193717,4,0.0833333333333333,3,0.0265486725663716,0.9966320991516112,0.9620672464370728
phase2/s1_baseline,0,fit,BigCodeBench/714,1,102,0.4636363636363636,1,0.04,3,0.0526315789473684,0.9904580116271972,0.952333390712738
phase2/s1_baseline,0,fit,BigCodeBench/719,1,86,0.2193877551020408,3,0.0389610389610389,3,0.0175438596491228,0.9979745149612428,0.9154447317123412
phase2/s1_baseline,0,fit,BigCodeBench/727,1,4,0.0283687943262411,2,0.0526315789473684,2,0.0217391304347826,0.9987643957138062,0.9810806512832642
phase2/s1_baseline,0,fit,BigCodeBench/733,1,293,0.2437603993344426,92,0.3357664233576642,3,0.0075949367088607,0.973976194858551,0.978622317314148
phase2/s1_baseline,0,fit,BigCodeBench/738,1,10,0.1063829787234042,1,0.05,3,0.0566037735849056,0.9961047172546388,0.8988800048828125
phase2/s1_baseline,0,fit,BigCodeBench/743,1,10,0.024390243902439,1,0.0117647058823529,3,0.0165745856353591,0.99936181306839,0.98476642370224
phase2/s1_baseline,0,fit,BigCodeBench/755,1,14,0.0414201183431952,1,0.0129870129870129,3,0.0171428571428571,0.999113917350769,0.9623016119003296
phase2/s1_baseline,0,fit,BigCodeBench/774,1,97,0.191699604743083,4,0.0444444444444444,2,0.0097087378640776,0.974782407283783,0.9683886766433716
phase2/s1_baseline,0,fit,BigCodeBench/780,1,36,0.0364004044489383,8,0.0481927710843373,3,0.0085470085470085,0.998997449874878,0.9954063892364502
phase2/s1_baseline,0,fit,BigCodeBench/802,1,63,0.171195652173913,4,0.0588235294117647,2,0.0133333333333333,0.9936184287071228,0.962982714176178
phase2/s1_baseline,0,fit,BigCodeBench/808,1,21,0.092511013215859,4,0.0727272727272727,2,0.0158730158730158,0.997828483581543,0.9670941233634948
phase2/s1_baseline,0,fit,BigCodeBench/835,1,6,0.031413612565445,2,0.0327868852459016,3,0.0229007633587786,0.9993817806243896,0.9847822189331056
phase2/s1_baseline,0,fit,BigCodeBench/856,1,12,0.0297766749379652,3,0.034090909090909,2,0.0097087378640776,0.9966200590133668,0.9934620261192322
phase2/s1_baseline,0,fit,BigCodeBench/879,1,282,0.2265060240963855,6,0.0375,3,0.0083565459610027,0.9976767301559448,0.9779791235923768
phase2/s1_baseline,0,fit,BigCodeBench/884,1,268,0.2774327122153209,3,0.0275229357798165,3,0.011070110701107,0.9904784560203552,0.9669883847236632
phase2/s1_baseline,0,fit,BigCodeBench/888,1,5,0.0216450216450216,1,0.02,3,0.0256410256410256,0.998938798904419,0.9761634469032288
phase2/s1_baseline,0,fit,BigCodeBench/901,1,98,0.29607250755287,1,0.0151515151515151,3,0.0222222222222222,0.9962034225463868,0.9313368201255798
phase2/s1_baseline,0,fit,BigCodeBench/907,1,5,0.015527950310559,1,0.0142857142857142,2,0.0135135135135135,0.9995434284210204,0.9797435402870178
phase2/s1_baseline,0,fit,BigCodeBench/923,1,90,0.1666666666666666,2,0.0196078431372549,3,0.0134529147982062,0.9972625970840454,0.9840195178985596
phase2/s1_baseline,0,fit,BigCodeBench/942,1,53,0.0834645669291338,3,0.0209790209790209,3,0.0103806228373702,0.9984397888183594,0.9824182391166688
phase2/s1_baseline,0,fit,BigCodeBench/943,1,48,0.0919540229885057,1,0.0094339622641509,2,0.0101010101010101,0.9950457811355592,0.9708040952682496
phase2/s1_baseline,0,fit,BigCodeBench/953,1,18,0.0309810671256454,4,0.0317460317460317,3,0.0101694915254237,0.999531865119934,0.987757921218872
phase2/s1_baseline,0,fit,BigCodeBench/970,1,53,0.0812883435582822,10,0.0769230769230769,3,0.0102389078498293,0.9954241514205932,0.9938395023345948
phase2/s1_baseline,0,fit,BigCodeBench/980,1,14,0.0361757105943152,4,0.05,3,0.0155440414507772,0.9989440441131592,0.9835125207901
phase2/s1_baseline,0,fit,BigCodeBench/997,1,144,0.3461538461538461,2,0.0357142857142857,3,0.0229007633587786,0.9907208681106568,0.9110867977142334
phase2/s1_baseline,0,fit,BigCodeBench/998,1,15,0.0272727272727272,5,0.0467289719626168,3,0.0127659574468085,0.9981554746627808,0.9923512935638428
phase2/s1_baseline,0,fit,BigCodeBench/1012,1,151,0.1444976076555024,20,0.1081081081081081,3,0.0083102493074792,0.9942294359207152,0.9392168521881104
phase2/s1_baseline,0,fit,BigCodeBench/1036,1,166,0.2557781201848998,12,0.075,2,0.0063694267515923,0.9968850016593932,0.9490735530853271
phase2/s1_baseline,0,fit,BigCodeBench/1039,1,26,0.030057803468208,8,0.0522875816993464,2,0.0062893081761006,0.9993137121200562,0.981847047805786
phase2/s1_baseline,0,fit,BigCodeBench/1047,1,15,0.0675675675675675,2,0.0392156862745098,2,0.0158730158730158,0.9989563822746276,0.9649786949157716
phase2/s1_baseline,0,fit,BigCodeBench/1048,1,7,0.0254545454545454,4,0.0526315789473684,3,0.0162162162162162,0.9991134405136108,0.9904282093048096
phase2/s1_baseline,0,fit,BigCodeBench/1055,1,61,0.1622340425531915,5,0.0520833333333333,2,0.0091743119266055,0.9918038249015808,0.9943361282348632
phase2/s1_baseline,0,fit,BigCodeBench/1074,1,13,0.0599078341013824,1,0.0204081632653061,3,0.024793388429752,0.9989440441131592,0.9784851670265198
phase2/s1_baseline,0,fit,BigCodeBench/1081,1,185,0.296,18,0.1636363636363636,3,0.0140845070422535,0.9886995553970336,0.9588781595230104
phase2/s1_baseline,0,fit,BigCodeBench/1098,1,127,0.4584837545126354,3,0.0857142857142857,3,0.036144578313253,0.9937175512313844,0.8835773468017578
phase2/s1_baseline,0,fit,BigCodeBench/1099,1,143,0.3704663212435233,3,0.0508474576271186,3,0.0215827338129496,0.9941041469573976,0.8627930879592896
phase2/s1_baseline,0,fit,BigCodeBench/1119,1,19,0.0494791666666666,3,0.0394736842105263,2,0.0112359550561797,0.9983245134353638,0.974550724029541
