source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s5_mixed,0,fit,BigCodeBench/5,1,28,0.1089494163424124,3,0.0348837209302325,2,0.0104166666666666,0.9910218715667723,0.993110179901123
phase2/s5_mixed,0,fit,BigCodeBench/6,1,6,0.0240963855421686,1,0.0135135135135135,2,0.0126582278481012,0.9967705011367798,0.9845250844955444
phase2/s5_mixed,0,fit,BigCodeBench/7,1,38,0.0947630922693266,5,0.0602409638554216,6,0.03,0.999226450920105,0.980944573879242
phase2/s5_mixed,0,fit,BigCodeBench/19,1,12,0.0264900662251655,3,0.0275229357798165,2,0.0086206896551724,0.9990468621253968,0.9789379835128784
phase2/s5_mixed,0,fit,BigCodeBench/24,1,9,0.0384615384615384,6,0.1153846153846153,3,0.0265486725663716,0.9890424609184264,0.9733026623725892
phase2/s5_mixed,0,fit,BigCodeBench/35,1,8,0.0343347639484978,3,0.0441176470588235,3,0.0201342281879194,0.9986037015914916,0.9704895615577698
phase2/s5_mixed,0,fit,BigCodeBench/42,1,133,0.2903930131004367,37,0.3663366336633663,31,0.1527093596059113,0.9928860664367676,0.9637773633003236
phase2/s5_mixed,0,fit,BigCodeBench/45,1,144,0.2642201834862385,8,0.0869565217391304,3,0.0158730158730158,0.991180181503296,0.9485219717025756
phase2/s5_mixed,0,fit,BigCodeBench/50,1,44,0.0984340044742729,11,0.1047619047619047,3,0.0133333333333333,0.9945204257965088,0.949351131916046
phase2/s5_mixed,0,fit,BigCodeBench/98,1,27,0.0957446808510638,7,0.1296296296296296,10,0.0833333333333333,0.9977058172225952,0.9803343415260316
phase2/s5_mixed,0,fit,BigCodeBench/100,1,53,0.1,15,0.1282051282051282,26,0.1065573770491803,0.9992583990097046,0.9826574921607972
phase2/s5_mixed,0,fit,BigCodeBench/102,1,108,0.380281690140845,12,0.2264150943396226,16,0.1403508771929824,0.9968831539154052,0.9199435710906982
phase2/s5_mixed,0,fit,BigCodeBench/113,1,23,0.0386554621848739,8,0.0689655172413793,3,0.0119521912350597,0.9984596967697144,0.9557604789733888
phase2/s5_mixed,0,fit,BigCodeBench/115,1,8,0.0300751879699248,1,0.0158730158730158,3,0.0201342281879194,0.9990978837013244,0.96659916639328
phase2/s5_mixed,0,fit,BigCodeBench/125,1,8,0.021680216802168,1,0.0140845070422535,3,0.0184049079754601,0.9986494779586792,0.9808346033096312
