source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s6_timeout_only,0,fit,BigCodeBench/19,1,10,0.0220750551876379,1,0.0094339622641509,3,0.0131004366812227,0.999351680278778,0.9715626239776612
phase2/s6_timeout_only,0,fit,BigCodeBench/24,1,7,0.0299145299145299,3,0.0612244897959183,2,0.0178571428571428,0.9956344366073608,0.9537185430526732
phase2/s6_timeout_only,0,fit,BigCodeBench/45,1,142,0.2605504587155963,8,0.0869565217391304,3,0.0158730158730158,0.99121356010437,0.94886577129364
phase2/s6_timeout_only,0,fit,BigCodeBench/50,1,48,0.1073825503355704,12,0.1142857142857142,3,0.0134529147982062,0.9948517680168152,0.945692539215088
phase2/s6_timeout_only,0,fit,BigCodeBench/98,1,23,0.0815602836879432,1,0.0196078431372549,3,0.0256410256410256,0.995919704437256,0.9874631762504578
phase2/s6_timeout_only,0,fit,BigCodeBench/100,1,18,0.0339622641509433,3,0.0258620689655172,2,0.0082644628099173,0.9987635016441344,0.9863558411598206
phase2/s6_timeout_only,0,fit,BigCodeBench/102,1,42,0.1478873239436619,5,0.0862068965517241,2,0.0158730158730158,0.998470902442932,0.9290004968643188
phase2/s6_timeout_only,0,fit,BigCodeBench/113,1,20,0.0336134453781512,8,0.0689655172413793,3,0.0119521912350597,0.9982838034629822,0.952491044998169
phase2/s6_timeout_only,0,fit,BigCodeBench/115,1,8,0.0300751879699248,1,0.0158730158730158,3,0.0198675496688741,0.9992201328277588,0.9455676078796388
phase2/s6_timeout_only,0,fit,BigCodeBench/125,1,10,0.02710027100271,1,0.0140845070422535,3,0.0184049079754601,0.9987539052963256,0.9666577577590942
phase2/s6_timeout_only,0,fit,BigCodeBench/149,1,44,0.1030444964871194,1,0.0133333333333333,3,0.0173410404624277,0.998263657093048,0.8831725716590881
phase2/s6_timeout_only,0,fit,BigCodeBench/154,1,12,0.046692607003891,1,0.0192307692307692,3,0.0232558139534883,0.9968500137329102,0.970057249069214
phase2/s6_timeout_only,0,fit,BigCodeBench/155,1,98,0.3450704225352112,3,0.0517241379310344,2,0.0147058823529411,0.9962457418441772,0.939334750175476
phase2/s6_timeout_only,0,fit,BigCodeBench/194,1,4,0.0199004975124378,3,0.0476190476190476,2,0.0147058823529411,0.9992236495018004,0.9501999616622924
phase2/s6_timeout_only,0,fit,BigCodeBench/228,1,118,0.3241758241758242,1,0.0175438596491228,3,0.024,0.9919729232788086,0.946434199810028
phase2/s6_timeout_only,0,fit,BigCodeBench/245,1,13,0.0395136778115501,1,0.0109890109890109,2,0.0104166666666666,0.9991753101348876,0.9834129810333252
phase2/s6_timeout_only,0,fit,BigCodeBench/247,1,11,0.0301369863013698,1,0.0128205128205128,3,0.0173410404624277,0.998822808265686,0.9939482808113098
phase2/s6_timeout_only,0,fit,BigCodeBench/253,1,8,0.0372093023255813,1,0.0147058823529411,3,0.019108280254777,0.9987674951553344,0.9689347147941588
phase2/s6_timeout_only,0,fit,BigCodeBench/258,1,91,0.35,1,0.0294117647058823,3,0.0337078651685393,0.991546094417572,0.9095502495765686
