source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s8_single_logical,0,fit,BigCodeBench/5,1,28,0.1089494163424124,5,0.0561797752808988,2,0.0103092783505154,0.993388295173645,0.9956992864608764
phase2/s8_single_logical,0,fit,BigCodeBench/24,1,4,0.017094017094017,3,0.0612244897959183,2,0.0178571428571428,0.9953391551971436,0.9819115400314332
phase2/s8_single_logical,0,fit,BigCodeBench/35,1,4,0.0171673819742489,3,0.0434782608695652,2,0.0131578947368421,0.9988963603973388,0.9802675247192384
phase2/s8_single_logical,0,fit,BigCodeBench/45,1,141,0.2587155963302752,8,0.086021505376344,2,0.0104166666666666,0.9907882213592528,0.9480605721473694
phase2/s8_single_logical,0,fit,BigCodeBench/100,1,15,0.0283018867924528,3,0.0256410256410256,2,0.0081967213114754,0.9991121888160706,0.9854025840759276
phase2/s8_single_logical,0,fit,BigCodeBench/113,1,17,0.0285714285714285,8,0.0683760683760683,2,0.0078740157480314,0.9979968070983888,0.9736834764480592
phase2/s8_single_logical,0,fit,BigCodeBench/115,1,2,0.0075187969924812,1,0.015625,2,0.0131578947368421,0.9994423985481262,0.9523416757583618
phase2/s8_single_logical,0,fit,BigCodeBench/138,1,33,0.0797101449275362,7,0.0909090909090909,9,0.0545454545454545,0.9974440336227416,0.9944763779640198
phase2/s8_single_logical,0,fit,BigCodeBench/238,1,33,0.0795180722891566,3,0.031578947368421,2,0.0095238095238095,0.9986742734909058,0.9776628613471984
phase2/s8_single_logical,0,fit,BigCodeBench/247,1,5,0.0136986301369863,1,0.0126582278481012,2,0.0114942528735632,0.9987338781356812,0.9980120658874512
phase2/s8_single_logical,0,fit,BigCodeBench/253,1,7,0.0325581395348837,1,0.0144927536231884,2,0.0126582278481012,0.9985536932945251,0.981194257736206
phase2/s8_single_logical,0,fit,BigCodeBench/263,1,5,0.0130548302872062,1,0.0109890109890109,2,0.0093457943925233,0.9969356060028076,0.9524967670440674
phase2/s8_single_logical,0,fit,BigCodeBench/307,1,33,0.1170212765957446,1,0.0172413793103448,2,0.0144927536231884,0.9992353916168212,0.9739807844161988
phase2/s8_single_logical,0,fit,BigCodeBench/309,1,104,0.1965973534971644,1,0.0101010101010101,2,0.009090909090909,0.9967533349990844,0.9802441596984864
phase2/s8_single_logical,0,fit,BigCodeBench/414,1,128,0.4338983050847457,25,0.3787878787878788,24,0.1690140845070422,0.993283748626709,0.9211854338645936
phase2/s8_single_logical,0,fit,BigCodeBench/450,1,48,0.1407624633431085,6,0.0659340659340659,2,0.0096153846153846,0.9899353981018066,0.982314944267273
phase2/s8_single_logical,0,fit,BigCodeBench/493,1,72,0.0757097791798107,26,0.1405405405405405,20,0.0478468899521531,0.99869966506958,0.9916530847549438
phase2/s8_single_logical,0,fit,BigCodeBench/524,1,54,0.0618556701030927,19,0.0887850467289719,4,0.0086206896551724,0.9970711469650269,0.9751269817352296
phase2/s8_single_logical,0,fit,BigCodeBench/539,1,25,0.0376506024096385,12,0.088235294117647,2,0.0067114093959731,0.998761773109436,0.9835724234580994
phase2/s8_single_logical,0,fit,BigCodeBench/572,1,9,0.030716723549488,1,0.0128205128205128,2,0.0111111111111111,0.9986575841903688,0.9851149320602416
phase2/s8_single_logical,0,fit,BigCodeBench/582,1,18,0.0409090909090909,1,0.008,2,0.0070422535211267,0.999120593070984,0.9982946515083312
phase2/s8_single_logical,0,fit,BigCodeBench/654,1,142,0.1832258064516129,4,0.0219780219780219,2,0.0049751243781094,0.9987085461616516,0.9370399713516236
phase2/s8_single_logical,0,fit,BigCodeBench/655,1,490,0.3689759036144578,7,0.0376344086021505,2,0.005050505050505,0.9902268648147584,0.9496135711669922
phase2/s8_single_logical,0,fit,BigCodeBench/706,1,44,0.0825515947467167,1,0.010204081632653,2,0.0087719298245614,0.998891532421112,0.9963970184326172
phase2/s8_single_logical,0,fit,BigCodeBench/774,1,96,0.1897233201581027,4,0.0439560439560439,2,0.0096153846153846,0.974435031414032,0.9710869789123536
phase2/s8_single_logical,0,fit,BigCodeBench/802,1,57,0.154891304347826,4,0.0579710144927536,2,0.0131578947368421,0.992794156074524,0.9565973281860352
phase2/s8_single_logical,0,fit,BigCodeBench/879,1,281,0.2257028112449799,5,0.0316455696202531,4,0.0112359550561797,0.9975146055221558,0.9777973890304564
phase2/s8_single_logical,0,fit,BigCodeBench/884,1,265,0.2743271221532091,3,0.0272727272727272,2,0.0072992700729927,0.9913934469223022,0.9681262969970704
phase2/s8_single_logical,0,fit,BigCodeBench/923,1,107,0.1981481481481481,8,0.0784313725490196,10,0.0467289719626168,0.9967595338821412,0.968283712863922
phase2/s8_single_logical,0,fit,BigCodeBench/942,1,49,0.0771653543307086,3,0.0208333333333333,2,0.0068965517241379,0.9993079900741576,0.9753105640411376
phase2/s8_single_logical,0,fit,BigCodeBench/943,1,37,0.0708812260536398,1,0.0093457943925233,2,0.01,0.9945272207260132,0.9708239436149596
phase2/s8_single_logical,0,fit,BigCodeBench/970,1,53,0.0812883435582822,10,0.0769230769230769,4,0.0136054421768707,0.995155930519104,0.9946829676628112
phase2/s8_single_logical,0,fit,BigCodeBench/1012,1,146,0.1397129186602871,17,0.0934065934065934,2,0.0055555555555555,0.99560546875,0.9291520714759828
phase2/s8_single_logical,0,fit,BigCodeBench/1036,1,164,0.2526964560862866,12,0.0745341614906832,2,0.0063291139240506,0.9970625638961792,0.9483458995819092
phase2/s8_single_logical,0,fit,BigCodeBench/1039,1,20,0.0231213872832369,9,0.0584415584415584,4,0.0125,0.999332070350647,0.9829349517822266
phase2/s8_single_logical,0,validate,BigCodeBench/34,1,176,0.3744680851063829,5,0.0806451612903225,2,0.0144927536231884,0.9925676584243774,0.9449025988578796
