source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s8_single_relational,0,fit,BigCodeBench/113,1,18,0.0302521008403361,8,0.0689655172413793,4,0.0158730158730158,0.9983722567558287,0.9618687629699708
phase2/s8_single_relational,0,fit,BigCodeBench/115,1,2,0.0075187969924812,1,0.0158730158730158,4,0.0266666666666666,0.9994167685508728,0.9454880952835084
phase2/s8_single_relational,0,fit,BigCodeBench/192,1,93,0.167870036101083,2,0.0222222222222222,4,0.0186915887850467,0.9969558119773864,0.9346689581871032
phase2/s8_single_relational,0,fit,BigCodeBench/247,1,5,0.0136986301369863,1,0.0128205128205128,4,0.0232558139534883,0.9988645911216736,0.996856153011322
phase2/s8_single_relational,0,fit,BigCodeBench/263,1,5,0.0130548302872062,1,0.0111111111111111,4,0.0188679245283018,0.9968559741973876,0.925029754638672
phase2/s8_single_relational,0,fit,BigCodeBench/352,1,6,0.014251781472684,3,0.0352941176470588,4,0.02,0.999170422554016,0.988779067993164
phase2/s8_single_relational,0,fit,BigCodeBench/387,1,64,0.1226053639846743,6,0.055045871559633,4,0.0161290322580645,0.9957420825958252,0.9795072078704834
phase2/s8_single_relational,0,fit,BigCodeBench/433,1,3,0.0138888888888888,1,0.0196078431372549,4,0.0357142857142857,0.998964548110962,0.9464470148086548
phase2/s8_single_relational,0,fit,BigCodeBench/451,1,40,0.0947867298578199,6,0.0612244897959183,4,0.0186915887850467,0.998481810092926,0.985693097114563
phase2/s8_single_relational,0,fit,BigCodeBench/493,1,27,0.028391167192429,12,0.0648648648648648,4,0.0091324200913242,0.9983569383621216,0.9912715554237366
phase2/s8_single_relational,0,fit,BigCodeBench/508,1,6,0.0153061224489795,2,0.0235294117647058,4,0.0210526315789473,0.9986260533332824,0.9590898156166076
